time [ms], AccX [g], AccY [g], AccZ [g], GyroX [deg/s], GyroY [deg/s], GyroZ [deg/s]
119683,0.82,-0.53,0.10,-174.28,-475.37,-31.78
119686,0.86,-0.52,0.06,-170.70,-474.05,-44.08
119690,0.91,-0.53,0.02,-167.96,-473.05,-58.62
119694,0.98,-0.52,0.01,-161.21,-474.06,-79.49
119697,1.00,-0.51,0.01,-155.04,-476.99,-94.66
119700,1.02,-0.49,-0.00,-148.95,-481.66,-107.76
119704,1.02,-0.45,0.01,-143.59,-488.76,-121.26
119707,1.05,-0.41,0.00,-140.22,-498.60,-132.42
119711,1.04,-0.38,0.01,-137.74,-505.22,-141.10
119714,1.04,-0.36,-0.02,-135.82,-505.22,-146.84
119718,1.04,-0.32,-0.07,-134.03,-505.22,-147.97
119722,1.03,-0.33,-0.13,-133.82,-501.79,-144.46
119725,1.03,-0.33,-0.18,-133.02,-479.33,-139.84
119729,1.04,-0.32,-0.18,-128.63,-451.33,-135.43
119733,1.04,-0.33,-0.18,-119.50,-406.14,-128.91
119736,1.03,-0.34,-0.17,-112.61,-371.80,-124.28
119740,1.03,-0.35,-0.15,-105.53,-337.48,-120.68
119744,1.02,-0.36,-0.13,-95.57,-299.05,-118.05
119747,1.01,-0.38,-0.10,-85.28,-265.66,-118.05
119751,1.00,-0.39,-0.08,-75.01,-235.24,-120.10
119754,0.98,-0.38,-0.07,-66.12,-208.66,-123.00
119758,0.96,-0.38,-0.05,-57.57,-185.85,-125.17
119761,0.95,-0.37,-0.06,-49.41,-164.41,-127.55
119765,0.92,-0.37,-0.06,-41.25,-145.18,-129.13
119768,0.91,-0.36,-0.06,-32.69,-124.76,-130.16
119773,0.92,-0.35,-0.07,-24.37,-101.05,-131.67
119776,0.93,-0.35,-0.08,-20.40,-86.70,-133.26
119779,0.95,-0.34,-0.09,-17.73,-73.77,-137.10
119782,0.97,-0.33,-0.09,-15.71,-62.40,-142.39
119786,0.99,-0.32,-0.10,-14.03,-51.05,-150.65
119789,1.01,-0.32,-0.09,-13.15,-41.08,-160.17
119793,1.05,-0.31,-0.10,-13.18,-31.54,-169.17
119796,1.08,-0.31,-0.10,-13.62,-22.05,-178.86
119800,1.11,-0.29,-0.09,-13.73,-13.88,-187.12
119803,1.13,-0.27,-0.07,-13.82,-7.01,-193.43
119807,1.16,-0.25,-0.03,-11.85,1.19,-197.06
119810,1.16,-0.24,-0.02,-9.31,5.16,-197.17
119813,1.15,-0.21,0.00,-6.28,7.43,-194.14
119816,1.16,-0.18,0.01,-3.16,9.08,-188.63
119819,1.16,-0.15,0.01,-0.44,12.06,-180.40
119822,1.16,-0.14,0.00,2.43,15.82,-169.27
119825,1.18,-0.14,-0.01,5.01,23.62,-156.80
